Idade;Genero;Cor/raca/etnia;PCD;UF onde mora;Tempo médio;Qual sua situação atual de trabalho?;Cargo Atual;Nivel;Faixa salarial;Atualmente qual a sua forma de trabalho?;Você acha que trabalhar em casa aumenta sua produtividade no trabalho?;Você acha que trabalhar em casa impede você de sair?;Você acha que trabalhar em casa lhe dá mais flexibilidade?;Você acha que trabalhar em casa economiza mais tempo?;Que tipo de trabalho tem o potencial de causar problemas físicos, como dores no pescoço, nas costas e nas pernas?;Que tipo de trabalho tem potencial para causar transtornos mentais, como estresse, ansiedade e depressão?;Você acha que trabalhar em casa impede você de entrar em contato com as pessoas?;Que tipo de trabalho mantém você focado enquanto trabalha?;Qual a forma de trabalho ideal para você?
28;Masculino;Branca;Não;RJ;;Empregado (CLT);Cientista de Dados/Data Scientist;Sênior;de R$ 12.001/mês a R$ 16.000/mês;Modelo 100% remoto;;;;;;;;;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
32;Masculino;Branca;Não;PR;;Vivo no Brasil e trabalho remoto para empresa de fora do Brasil;Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;Sênior;de R$ 20.001/mês a R$ 25.000/mês;Modelo 100% remoto;;;;;;;;;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
29;Masculino;Branca;Não;MS;;Empregado (CLT);;;de R$ 8.001/mês a R$ 12.000/mês;Modelo 100% remoto;;;;;;;;;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
34;Masculino;Branca;Não;RS;;Empregado (CLT);Analista de BI/BI Analyst;Sênior;de R$ 6.001/mês a R$ 8.000/mês;Modelo 100% remoto;;;;;;;;;Modelo 100% remoto
30;Masculino;Parda;Não;MG;;Empregado (CLT);Engenheiro de Machine Learning/ML Engineer/AI Engineer;Pleno;de R$ 12.001/mês a R$ 16.000/mês;Modelo 100% remoto;;;;;;;;;Modelo 100% remoto
47;Feminino;Parda;Não;CE;;Empregado (CLT);;;de R$ 12.001/mês a R$ 16.000/mês;Modelo 100% remoto;;;;;;;;;Modelo 100% remoto
28;Masculino;Branca;Não;PR;;Empreendedor ou Empregado (CNPJ);Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;Sênior;de R$ 20.001/mês a R$ 25.000/mês;Modelo 100% remoto;;;;;;;;;Modelo 100% remoto
27;Masculino;Branca;Não;SC;;Empreendedor ou Empregado (CNPJ);Analista de Negócios/Business Analyst;Sênior;de R$ 8.001/mês a R$ 12.000/mês;Modelo 100% remoto;;;;;;;;;Modelo 100% remoto
40;Masculino;Branca;Não;SP;;Empregado (CLT);Professor/Pesquisador;Sênior;de R$ 12.001/mês a R$ 16.000/mês;Modelo híbrido com dias fixos de trabalho presencial;;;;;;;;;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
35;Masculino;Branca;Não;RJ;;Desempregado e não estou buscando recolocação;;;;;;;;;;;;;
28;Masculino;Branca;Não;SP;;Empregado (CLT);Analista de BI/BI Analyst;Júnior;de R$ 2.001/mês a R$ 3.000/mês;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);;;;;;;;;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
24;Masculino;Parda;Não;RN;;Freelancer;Analista de BI/BI Analyst;Pleno;de R$ 3.001/mês a R$ 4.000/mês;Modelo 100% remoto;;;;;;;;;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
29;Masculino;Branca;Não;SP;;Empreendedor ou Empregado (CNPJ);Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas;Sênior;de R$ 12.001/mês a R$ 16.000/mês;Modelo 100% remoto;;;;;;;;;Modelo 100% remoto
27;Masculino;Branca;Não;MG;;Empregado (CLT);;;de R$ 8.001/mês a R$ 12.000/mês;Modelo 100% remoto;;;;;;;;;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
40;Feminino;Branca;Não;RS;;Empreendedor ou Empregado (CNPJ);;;de R$ 6.001/mês a R$ 8.000/mês;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);;;;;;;;;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
28;Masculino;Branca;Não;CE;;Empregado (CLT);Outra Opção;Júnior;de R$ 3.001/mês a R$ 4.000/mês;Modelo 100% presencial;;;;;;;;;Modelo híbrido com dias fixos de trabalho presencial
26;Masculino;Branca;Não;SP;;Empregado (CLT);Analytics Engineer;Pleno;de R$ 12.001/mês a R$ 16.000/mês;Modelo 100% remoto;;;;;;;;;Modelo 100% remoto
29;Feminino;Branca;Não;SP;;Empregado (CLT);;;de R$ 6.001/mês a R$ 8.000/mês;Modelo 100% presencial;;;;;;;;;Modelo híbrido com dias fixos de trabalho presencial
26;Masculino;Branca;Não;PR;;Empregado (CLT);Analista de Dados/Data Analyst;Pleno;de R$ 4.001/mês a R$ 6.000/mês;Modelo híbrido com dias fixos de trabalho presencial;;;;;;;;;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
33;Masculino;Parda;Não;MG;;Empregado (CLT);Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;Pleno;de R$ 8.001/mês a R$ 12.000/mês;Modelo 100% remoto;;;;;;;;;Modelo 100% remoto
31;Feminino;Branca;Não;RS;;Empregado (CLT);Analista de Dados/Data Analyst;Pleno;de R$ 6.001/mês a R$ 8.000/mês;Modelo 100% remoto;;;;;;;;;Modelo 100% remoto
28;Masculino;Parda;Não;SP;;Desempregado, buscando recolocação;;;;;;;;;;;;;
25;Masculino;Branca;Não;RJ;;Empregado (CLT);Analista de Negócios/Business Analyst;Pleno;de R$ 3.001/mês a R$ 4.000/mês;Modelo 100% remoto;;;;;;;;;Modelo 100% remoto
28;Masculino;Branca;Não;PE;;Empregado (CLT);Analytics Engineer;Pleno;de R$ 6.001/mês a R$ 8.000/mês;Modelo 100% remoto;;;;;;;;;Modelo 100% remoto
28;Masculino;Branca;Não;SP;;Empregado (CLT);Analista de BI/BI Analyst;Pleno;de R$ 4.001/mês a R$ 6.000/mês;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);;;;;;;;;Modelo 100% remoto
32;Masculino;Branca;Não;MG;;Empregado (CLT);;;de R$ 8.001/mês a R$ 12.000/mês;Modelo 100% remoto;;;;;;;;;Modelo 100% remoto
30;Masculino;Parda;Não;DF;;Empregado (CLT);;;de R$ 12.001/mês a R$ 16.000/mês;Modelo 100% remoto;;;;;;;;;Modelo 100% remoto
22;Masculino;Branca;Não;SP;;Estagiário;Analista de Dados/Data Analyst;Júnior;de R$ 1.001/mês a R$ 2.000/mês;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);;;;;;;;;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
25;Masculino;Branca;Sim;SC;;Empregado (CLT);Analytics Engineer;Pleno;de R$ 4.001/mês a R$ 6.000/mês;Modelo 100% remoto;;;;;;;;;Modelo 100% remoto
30;Masculino;Parda;Não;PE;;Empregado (CLT);Cientista de Dados/Data Scientist;Sênior;de R$ 6.001/mês a R$ 8.000/mês;Modelo 100% remoto;;;;;;;;;Modelo 100% presencial
30;Masculino;Parda;Não;MG;;Estagiário;Analista de BI/BI Analyst;Júnior;de R$ 1.001/mês a R$ 2.000/mês;Modelo híbrido com dias fixos de trabalho presencial;;;;;;;;;Modelo híbrido com dias fixos de trabalho presencial
22;Masculino;Branca;Não;AM;;Empreendedor ou Empregado (CNPJ);Analista de Dados/Data Analyst;Pleno;de R$ 6.001/mês a R$ 8.000/mês;Modelo 100% remoto;;;;;;;;;Modelo 100% remoto
36;Masculino;Parda;Não;SP;;Empregado (CLT);;;de R$ 16.001/mês a R$ 20.000/mês;Modelo 100% remoto;;;;;;;;;Modelo 100% remoto
32;Masculino;Branca;Não;MG;;Empregado (CLT);;;de R$ 20.001/mês a R$ 25.000/mês;Modelo híbrido com dias fixos de trabalho presencial;;;;;;;;;Modelo 100% remoto
51;Masculino;Branca;Não;SP;;Empreendedor ou Empregado (CNPJ);;;de R$ 25.001/mês a R$ 30.000/mês;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);;;;;;;;;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
28;Feminino;Parda;Não;GO;;Desempregado, buscando recolocação;;;;;;;;;;;;;
42;Masculino;Branca;Não;SP;;Empregado (CLT);;;de R$ 20.001/mês a R$ 25.000/mês;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);;;;;;;;;Modelo 100% remoto
30;Feminino;Branca;Não;SP;;Empregado (CLT);Analista de Dados/Data Analyst;Pleno;de R$ 4.001/mês a R$ 6.000/mês;Modelo 100% presencial;;;;;;;;;Modelo híbrido com dias fixos de trabalho presencial
20;Masculino;Branca;Não;MG;;Empreendedor ou Empregado (CNPJ);Cientista de Dados/Data Scientist;Pleno;de R$ 6.001/mês a R$ 8.000/mês;Modelo 100% remoto;;;;;;;;;Modelo 100% presencial
37;Masculino;Branca;Não;RJ;;Empregado (CLT);;;de R$ 20.001/mês a R$ 25.000/mês;Modelo 100% remoto;;;;;;;;;Modelo 100% remoto
31;Masculino;Parda;Não;PI;;Empreendedor ou Empregado (CNPJ);Analista de Suporte/Analista Técnico;Pleno;de R$ 8.001/mês a R$ 12.000/mês;Modelo 100% remoto;;;;;;;;;Modelo 100% remoto
28;Masculino;Preta;Não;CE;;Empregado (CLT);Analista de BI/BI Analyst;Pleno;de R$ 4.001/mês a R$ 6.000/mês;Modelo 100% remoto;;;;;;;;;Modelo 100% remoto
30;Feminino;Parda;Não;SP;;Empregado (CLT);Analista de Negócios/Business Analyst;Pleno;de R$ 6.001/mês a R$ 8.000/mês;Modelo 100% remoto;;;;;;;;;Modelo híbrido com dias fixos de trabalho presencial
25;Masculino;Branca;Não;SP;;Empregado (CLT);Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;Sênior;de R$ 20.001/mês a R$ 25.000/mês;Modelo 100% remoto;;;;;;;;;Modelo 100% remoto
42;Feminino;Amarela;Não;SP;;Trabalho na área Acadêmica/Pesquisador;;;;;;;;;;;;;
29;Masculino;Branca;Não;RS;;Empregado (CLT);Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;Pleno;de R$ 6.001/mês a R$ 8.000/mês;Modelo 100% remoto;;;;;;;;;Modelo 100% remoto
23;Feminino;Branca;Não;RS;;Freelancer;;;de R$ 2.001/mês a R$ 3.000/mês;Modelo 100% remoto;;;;;;;;;Modelo 100% remoto
35;Masculino;Branca;Não;;;Empregado (CLT);Cientista de Dados/Data Scientist;Sênior;de R$ 20.001/mês a R$ 25.000/mês;Modelo 100% remoto;;;;;;;;;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
28;Masculino;Branca;Não;SP;;Empregado (CLT);Analista de BI/BI Analyst;Júnior;de R$ 4.001/mês a R$ 6.000/mês;Modelo 100% remoto;;;;;;;;;Modelo 100% remoto
25;Masculino;Branca;Não;PR;;Empregado (CLT);Cientista de Dados/Data Scientist;Júnior;de R$ 2.001/mês a R$ 3.000/mês;Modelo 100% presencial;;;;;;;;;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
28;Masculino;Amarela;Não;DF;;Desempregado, buscando recolocação;;;;;;;;;;;;;
38;Masculino;Branca;Não;SP;;Empregado (CLT);Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;Sênior;de R$ 12.001/mês a R$ 16.000/mês;Modelo 100% remoto;;;;;;;;;Modelo 100% remoto
32;Masculino;Branca;Não;MG;;Empregado (CLT);;;de R$ 12.001/mês a R$ 16.000/mês;Modelo 100% remoto;;;;;;;;;Modelo 100% remoto
38;Feminino;Branca;Não;SP;;Desempregado, buscando recolocação;;;;;;;;;;;;;
38;Masculino;Branca;Não;;;Vivo fora do Brasil e trabalho para empresa de fora do Brasil;;;de R$ 8.001/mês a R$ 12.000/mês;Modelo 100% presencial;;;;;;;;;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
58;Masculino;Branca;Não;SP;;Empregado (CLT);Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO);Júnior;de R$ 4.001/mês a R$ 6.000/mês;Modelo 100% remoto;;;;;;;;;Modelo 100% remoto
35;Masculino;Preta;Não;GO;;Empregado (CLT);Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;Sênior;de R$ 16.001/mês a R$ 20.000/mês;Modelo 100% remoto;;;;;;;;;Modelo 100% remoto
40;Masculino;Preta;Não;SP;;Empregado (CLT);;;de R$ 3.001/mês a R$ 4.000/mês;Modelo 100% presencial;;;;;;;;;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
38;Masculino;Branca;Não;SP;;Freelancer;Analista de Suporte/Analista Técnico;Pleno;Menos de R$ 1.000/mês;Modelo híbrido com dias fixos de trabalho presencial;;;;;;;;;Modelo híbrido com dias fixos de trabalho presencial
36;Feminino;Branca;Não;SP;;Empregado (CLT);Professor/Pesquisador;Júnior;de R$ 1.001/mês a R$ 2.000/mês;Modelo 100% presencial;;;;;;;;;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
30;Masculino;Branca;Não;PR;;Empregado (CLT);Analytics Engineer;Sênior;de R$ 16.001/mês a R$ 20.000/mês;Modelo híbrido com dias fixos de trabalho presencial;;;;;;;;;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
27;Masculino;Branca;Não;SP;;Empreendedor ou Empregado (CNPJ);;;de R$ 16.001/mês a R$ 20.000/mês;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);;;;;;;;;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
22;Feminino;Preta;Não;MT;;Somente Estudante (graduação);;;;;;;;;;;;;
30;Feminino;Parda;Não;MG;;Empregado (CLT);Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;Sênior;de R$ 12.001/mês a R$ 16.000/mês;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);;;;;;;;;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
29;Feminino;Parda;Não;RJ;;Desempregado, buscando recolocação;;;;;;;;;;;;;
30;Masculino;Branca;Não;MG;;Empregado (CLT);Engenheiro de Machine Learning/ML Engineer/AI Engineer;Pleno;de R$ 8.001/mês a R$ 12.000/mês;Modelo 100% remoto;;;;;;;;;Modelo 100% remoto
22;Masculino;Branca;Não;MG;;Estagiário;Analista de Dados/Data Analyst;Júnior;de R$ 1.001/mês a R$ 2.000/mês;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);;;;;;;;;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
37;Feminino;Branca;Não;SP;;Vivo no Brasil e trabalho remoto para empresa de fora do Brasil;Analista de BI/BI Analyst;Sênior;de R$ 12.001/mês a R$ 16.000/mês;Modelo 100% remoto;;;;;;;;;Modelo 100% remoto
24;Masculino;Branca;Não;SP;;Empregado (CLT);Analista de Negócios/Business Analyst;Pleno;de R$ 6.001/mês a R$ 8.000/mês;Modelo 100% remoto;;;;;;;;;Modelo 100% remoto
31;Masculino;Amarela;Não;SP;;Empregado (CLT);Analytics Engineer;Sênior;de R$ 8.001/mês a R$ 12.000/mês;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);;;;;;;;;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
40;Masculino;Branca;Não;SP;;Empreendedor ou Empregado (CNPJ);;;de R$ 8.001/mês a R$ 12.000/mês;Modelo 100% presencial;;;;;;;;;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
28;Masculino;Branca;Não;PR;;Empregado (CLT);Cientista de Dados/Data Scientist;Sênior;de R$ 8.001/mês a R$ 12.000/mês;Modelo 100% remoto;;;;;;;;;Modelo 100% remoto
31;Masculino;Branca;Não;SP;;Empregado (CLT);Analista de Dados/Data Analyst;Sênior;de R$ 16.001/mês a R$ 20.000/mês;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);;;;;;;;;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
29;Masculino;Branca;Não;SP;;Empreendedor ou Empregado (CNPJ);Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;Júnior;de R$ 3.001/mês a R$ 4.000/mês;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);;;;;;;;;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
30;Feminino;Branca;Não;MG;;Empregado (CLT);Analista de Dados/Data Analyst;Júnior;de R$ 1.001/mês a R$ 2.000/mês;Modelo 100% remoto;;;;;;;;;Modelo 100% remoto
31;Feminino;Parda;Não;;;Vivo fora do Brasil e trabalho para empresa de fora do Brasil;Analista de Dados/Data Analyst;Júnior;de R$ 12.001/mês a R$ 16.000/mês;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);;;;;;;;;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
27;Masculino;Branca;Não;SP;;Empregado (CLT);;;de R$ 12.001/mês a R$ 16.000/mês;Modelo 100% presencial;;;;;;;;;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
33;Masculino;Parda;Não;MG;;Empregado (CLT);Analista de BI/BI Analyst;Júnior;de R$ 3.001/mês a R$ 4.000/mês;Modelo 100% remoto;;;;;;;;;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
35;Masculino;Branca;Não;RJ;;Empreendedor ou Empregado (CNPJ);Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;Sênior;de R$ 12.001/mês a R$ 16.000/mês;Modelo 100% remoto;;;;;;;;;Modelo 100% remoto
23;Masculino;Branca;Não;SP;;Empregado (CLT);Analista de Negócios/Business Analyst;Pleno;de R$ 4.001/mês a R$ 6.000/mês;Modelo 100% remoto;;;;;;;;;Modelo 100% remoto
49;Masculino;Branca;Não;RS;;Desempregado, buscando recolocação;;;;;;;;;;;;;
41;Feminino;Branca;Não;DF;;Servidor Público;;;de R$ 16.001/mês a R$ 20.000/mês;Modelo 100% remoto;;;;;;;;;Modelo 100% remoto
34;Masculino;Parda;Não;SP;;Empregado (CLT);;;Acima de R$ 40.001/mês;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);;;;;;;;;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
30;Masculino;Branca;Não;MG;;Empregado (CLT);Analista de Dados/Data Analyst;Pleno;de R$ 4.001/mês a R$ 6.000/mês;Modelo híbrido com dias fixos de trabalho presencial;;;;;;;;;Modelo híbrido com dias fixos de trabalho presencial
36;Masculino;Parda;Não;PB;;Empregado (CLT);Cientista de Dados/Data Scientist;Pleno;de R$ 8.001/mês a R$ 12.000/mês;Modelo híbrido com dias fixos de trabalho presencial;;;;;;;;;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
45;Masculino;Parda;Não;MG;;Desempregado, buscando recolocação;;;;;;;;;;;;;
33;Masculino;Branca;Não;SP;;Empregado (CLT);Engenheiro de Machine Learning/ML Engineer/AI Engineer;Pleno;de R$ 8.001/mês a R$ 12.000/mês;Modelo híbrido com dias fixos de trabalho presencial;;;;;;;;;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
35;Masculino;Branca;Não;PR;;Empregado (CLT);Analista de Dados/Data Analyst;Sênior;de R$ 4.001/mês a R$ 6.000/mês;Modelo 100% presencial;;;;;;;;;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
23;Masculino;Branca;Não;RS;;Empregado (CLT);Analista de Dados/Data Analyst;Pleno;de R$ 4.001/mês a R$ 6.000/mês;Modelo 100% remoto;;;;;;;;;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
22;Masculino;Branca;Não;SP;;Empregado (CLT);Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;Pleno;de R$ 3.001/mês a R$ 4.000/mês;Modelo 100% remoto;;;;;;;;;Modelo 100% remoto
42;Feminino;Branca;Não;RJ;;Empregado (CLT);;;de R$ 16.001/mês a R$ 20.000/mês;Modelo 100% remoto;;;;;;;;;Modelo 100% remoto
28;Feminino;Branca;Não;SP;;Empregado (CLT);Analista de Suporte/Analista Técnico;Pleno;de R$ 3.001/mês a R$ 4.000/mês;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);;;;;;;;;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
46;Masculino;Amarela;Não;SP;;Empregado (CLT);;;de R$ 30.001/mês a R$ 40.000/mês;Modelo 100% presencial;;;;;;;;;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
25;Masculino;Parda;Não;SP;;Empregado (CLT);Analista de Dados/Data Analyst;Pleno;de R$ 8.001/mês a R$ 12.000/mês;Modelo 100% remoto;;;;;;;;;Modelo 100% remoto
29;Feminino;Branca;Não;RS;;Empregado (CLT);Analista de Dados/Data Analyst;Júnior;de R$ 2.001/mês a R$ 3.000/mês;Modelo 100% presencial;;;;;;;;;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
41;Masculino;Branca;Não;SP;;Somente Estudante (graduação);;;;;;;;;;;;;
27;Feminino;Branca;Não;RS;;Empreendedor ou Empregado (CNPJ);Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas;Pleno;de R$ 12.001/mês a R$ 16.000/mês;Modelo híbrido com dias fixos de trabalho presencial;;;;;;;;;Modelo 100% remoto
23;Masculino;Parda;Sim;SP;;Empregado (CLT);Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;Pleno;de R$ 4.001/mês a R$ 6.000/mês;Modelo 100% remoto;;;;;;;;;Modelo 100% remoto
46;Masculino;Branca;Não;SP;;Servidor Público;Professor/Pesquisador;Sênior;de R$ 12.001/mês a R$ 16.000/mês;Modelo 100% presencial;;;;;;;;;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
41;Masculino;Parda;Não;SP;;Empregado (CLT);Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;Sênior;de R$ 20.001/mês a R$ 25.000/mês;Modelo 100% remoto;;;;;;;;;Modelo 100% remoto
39;Masculino;Branca;Sim;DF;;Empregado (CLT);Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;Júnior;de R$ 6.001/mês a R$ 8.000/mês;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);;;;;;;;;Modelo 100% presencial
27;Masculino;Branca;Não;ES;;Empreendedor ou Empregado (CNPJ);Outra Opção;Pleno;de R$ 8.001/mês a R$ 12.000/mês;Modelo 100% presencial;;;;;;;;;Modelo 100% remoto
23;Masculino;Branca;Não;SP;;Empreendedor ou Empregado (CNPJ);Analista de BI/BI Analyst;Júnior;de R$ 1.001/mês a R$ 2.000/mês;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);;;;;;;;;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
26;Masculino;Branca;Não;MG;;Empregado (CLT);Analista de BI/BI Analyst;Pleno;de R$ 3.001/mês a R$ 4.000/mês;Modelo híbrido com dias fixos de trabalho presencial;;;;;;;;;Modelo 100% remoto
47;Masculino;Parda;Não;RJ;;Empreendedor ou Empregado (CNPJ);;;de R$ 30.001/mês a R$ 40.000/mês;Modelo híbrido com dias fixos de trabalho presencial;;;;;;;;;Modelo híbrido com dias fixos de trabalho presencial
25;Masculino;Branca;Não;SP;;Empregado (CLT);Cientista de Dados/Data Scientist;Sênior;de R$ 12.001/mês a R$ 16.000/mês;Modelo 100% remoto;;;;;;;;;Modelo 100% remoto
28;Masculino;Branca;Não;SC;;Empregado (CLT);Analista de Negócios/Business Analyst;Júnior;de R$ 4.001/mês a R$ 6.000/mês;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente);;;;;;;;;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
39;Masculino;Branca;Não;SP;;Desempregado, buscando recolocação;;;;;;;;;;;;;
41;Masculino;Branca;Não;SP;;Empregado (CLT);Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect;Sênior;de R$ 25.001/mês a R$ 30.000/mês;Modelo 100% remoto;;;;;;;;;Modelo 100% remoto
53;Masculino;Branca;Não;MG;;Empregado (CLT);Analista de BI/BI Analyst;Sênior;de R$ 12.001/mês a R$ 16.000/mês;Modelo 100% remoto;;;;;;;;;Modelo 100% remoto
36;Masculino;Amarela;Não;SP;;Vivo no Brasil e trabalho remoto para empresa de fora do Brasil;;;de R$ 20.001/mês a R$ 25.000/mês;Modelo 100% remoto;;;;;;;;;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
22;Masculino;Parda;Não;PE;;Empregado (CLT);Analista de BI/BI Analyst;Pleno;de R$ 4.001/mês a R$ 6.000/mês;Modelo híbrido com dias fixos de trabalho presencial;;;;;;;;;Modelo híbrido com dias fixos de trabalho presencial
27;Feminino;Branca;Não;SC;;Empregado (CLT);Outra Opção;Júnior;de R$ 4.001/mês a R$ 6.000/mês;Modelo 100% presencial;;;;;;;;;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
30;Feminino;Branca;Não;DF;;Empregado (CLT);Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas;Sênior;de R$ 12.001/mês a R$ 16.000/mês;Modelo 100% remoto;;;;;;;;;Modelo 100% remoto
36;Feminino;Preta;Não;RJ;;Empregado (CLT);Analista de Dados/Data Analyst;Pleno;de R$ 2.001/mês a R$ 3.000/mês;Modelo 100% remoto;;;;;;;;;Modelo 100% remoto
27;Feminino;Branca;Não;RJ;;Empregado (CLT);Analista de Dados/Data Analyst;Pleno;de R$ 6.001/mês a R$ 8.000/mês;Modelo 100% remoto;;;;;;;;;Modelo 100% remoto
44;Masculino;Branca;Não;PR;;Trabalho na área Acadêmica/Pesquisador;;;;;;;;;;;;;
23;Feminino;Branca;Não;PR;;Empregado (CLT);Analista de BI/BI Analyst;Júnior;de R$ 3.001/mês a R$ 4.000/mês;Modelo híbrido com dias fixos de trabalho presencial;;;;;;;;;Modelo 100% remoto
37;Masculino;Branca;Não;MG;;Desempregado, buscando recolocação;;;;;;;;;;;;;
30;Masculino;Branca;Não;MA;;Empregado (CLT);Analista de Dados/Data Analyst;Sênior;de R$ 6.001/mês a R$ 8.000/mês;Modelo 100% remoto;;;;;;;;;Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
23;Masculino;Branca;Não;RS;;Empreendedor ou Empregado (CNPJ);Analista de BI/BI Analyst;Júnior;de R$ 2.001/mês a R$ 3.000/mês;Modelo 100% remoto;;;;;;;;;Modelo 100% remoto
